gamma,log_gamma,B,n,seed,deviation
24.0,3.1780538303479458,8.14134423537953,250,0,0.1810854083722604
24.0,3.1780538303479458,8.14134423537953,250,1,0.14954859345663474
24.0,3.1780538303479458,8.14134423537953,250,2,0.17442491893243073
24.0,3.1780538303479458,8.14134423537953,250,3,0.15270218159045035
24.0,3.1780538303479458,8.14134423537953,250,4,0.16575834085368046
24.0,3.1780538303479458,8.14134423537953,250,5,0.1925181774285405
24.0,3.1780538303479458,8.14134423537953,250,6,0.14944586805406512
24.0,3.1780538303479458,8.14134423537953,250,7,0.17331369848652511
24.0,3.1780538303479458,8.14134423537953,500,0,0.11756495236065767
24.0,3.1780538303479458,8.14134423537953,500,1,0.10807120722931418
24.0,3.1780538303479458,8.14134423537953,500,2,0.124214550175195
24.0,3.1780538303479458,8.14134423537953,500,3,0.17448240099969903
24.0,3.1780538303479458,8.14134423537953,500,4,0.1195039522512229
24.0,3.1780538303479458,8.14134423537953,500,5,0.13517123854409596
24.0,3.1780538303479458,8.14134423537953,500,6,0.1201991319626936
24.0,3.1780538303479458,8.14134423537953,500,7,0.10339200262892545
24.0,3.1780538303479458,8.14134423537953,1000,0,0.10669172921166736
24.0,3.1780538303479458,8.14134423537953,1000,1,0.08055733101149287
24.0,3.1780538303479458,8.14134423537953,1000,2,0.11070779124194496
24.0,3.1780538303479458,8.14134423537953,1000,3,0.05850784391131891
24.0,3.1780538303479458,8.14134423537953,1000,4,0.08938276188224425
24.0,3.1780538303479458,8.14134423537953,1000,5,0.08424351959873011
24.0,3.1780538303479458,8.14134423537953,1000,6,0.08907311012995023
24.0,3.1780538303479458,8.14134423537953,1000,7,0.09454609483820553
24.0,3.1780538303479458,8.14134423537953,2000,0,0.09484922771251925
24.0,3.1780538303479458,8.14134423537953,2000,1,0.05819429457595815
24.0,3.1780538303479458,8.14134423537953,2000,2,0.056528948859387196
24.0,3.1780538303479458,8.14134423537953,2000,3,0.07444307861373822
24.0,3.1780538303479458,8.14134423537953,2000,4,0.063674059378372
24.0,3.1780538303479458,8.14134423537953,2000,5,0.05804102134410005
24.0,3.1780538303479458,8.14134423537953,2000,6,0.06270377196215393
24.0,3.1780538303479458,8.14134423537953,2000,7,0.05260760885220783
24.0,3.1780538303479458,8.14134423537953,4000,0,0.043363768025543425
24.0,3.1780538303479458,8.14134423537953,4000,1,0.04380843950305491
24.0,3.1780538303479458,8.14134423537953,4000,2,0.034607587024324316
24.0,3.1780538303479458,8.14134423537953,4000,3,0.04744580639868845
24.0,3.1780538303479458,8.14134423537953,4000,4,0.034127582019604086
24.0,3.1780538303479458,8.14134423537953,4000,5,0.03580893808877095
24.0,3.1780538303479458,8.14134423537953,4000,6,0.04399674286502564
24.0,3.1780538303479458,8.14134423537953,4000,7,0.041656337368109586
24.0,3.1780538303479458,8.14134423537953,8000,0,0.023428519308658746
24.0,3.1780538303479458,8.14134423537953,8000,1,0.031803241609171806
24.0,3.1780538303479458,8.14134423537953,8000,2,0.022797812310131782
24.0,3.1780538303479458,8.14134423537953,8000,3,0.039141015625010045
24.0,3.1780538303479458,8.14134423537953,8000,4,0.0387379995184709
24.0,3.1780538303479458,8.14134423537953,8000,5,0.03956145131683386
24.0,3.1780538303479458,8.14134423537953,8000,6,0.028949780295537852
24.0,3.1780538303479458,8.14134423537953,8000,7,0.034913071840685594
